TEAMID,CBBdata,API
1,Abilene Christian,Abilene Christian Wildcats
2,Air Force,Air Force Falcons
3,Akron,Akron Zips
4,Alabama A&M,Alabama A&M Bulldogs
5,Alabama,Alabama Crimson Tide
6,Alabama State,Alabama St Hornets
306,UAlbany,Albany Great Danes
7,Alcorn State,Alcorn St Braves
8,American University,American Eagles
9,App State,Appalachian St Mountaineers
10,Arizona State,Arizona St Sun Devils
11,Arizona,Arizona Wildcats
12,Arkansas,Arkansas Razorbacks
13,Arkansas State,Arkansas St Red Wolves
144,Little Rock,Arkansas-Little Rock Trojans
14,Arkansas-Pine Bluff,Arkansas-Pine Bluff Golden Lions
15,Army,Army Knights
16,Auburn,Auburn Tigers
17,Austin Peay,Austin Peay Governors
19,Ball State,Ball State Cardinals
20,Baylor,Baylor Bears
21,Bellarmine,Bellarmine Knights
22,Belmont,Belmont Bruins
23,Bethune-Cookman,Bethune-Cookman Wildcats
24,Binghamton,Binghamton Bearcats
25,Boise State,Boise State Broncos
26,Boston College,Boston College Eagles
27,Boston University,Boston Univ. Terriers
28,Bowling Green,Bowling Green Falcons
29,Bradley,Bradley Braves
30,Brown,Brown Bears
31,Bryant,Bryant Bulldogs
32,Bucknell,Bucknell Bison
33,Buffalo,Buffalo Bulls
34,Butler,Butler Bulldogs
18,BYU,BYU Cougars
39,California Baptist,Cal Baptist Lancers
35,Cal Poly,Cal Poly Mustangs
40,California,California Golden Bears
41,Campbell,Campbell Fighting Camels
42,Canisius,Canisius Golden Griffins
43,Central Arkansas,Central Arkansas Bears
44,Central Connecticut,Central Connecticut St Blue Devils
45,Central Michigan,Central Michigan Chippewas
46,Charleston,Charleston Cougars
47,Charleston Southern,Charleston Southern Buccaneers
48,Charlotte,Charlotte 49ers
49,Chattanooga,Chattanooga Mocs
50,Chicago State,Chicago St Cougars
51,Cincinnati,Cincinnati Bearcats
52,Clemson,Clemson Tigers
53,Cleveland State,Cleveland St Vikings
54,Coastal Carolina,Coastal Carolina Chanticleers
55,Colgate,Colgate Raiders
56,Colorado,Colorado Buffaloes
57,Colorado State,Colorado St Rams
58,Columbia,Columbia Lions
59,Coppin State,Coppin St Eagles
60,Cornell,Cornell Big Red
61,Creighton,Creighton Bluejays
36,Cal State Bakersfield,CSU Bakersfield Roadrunners
37,Cal State Fullerton,CSU Fullerton Titans
38,Cal State Northridge,CSU Northridge Matadors
62,Dartmouth,Dartmouth Big Green
63,Davidson,Davidson Wildcats
64,Dayton,Dayton Flyers
65,DePaul,Delaware Blue Hens
66,Delaware,Delaware St Hornets
67,Delaware State,Denver Pioneers
68,Denver,DePaul Blue Demons
69,Detroit Mercy,Detroit Mercy Titans
70,Drake,Drake Bulldogs
71,Drexel,Drexel Dragons
72,Duke,Duke Blue Devils
73,Duquesne,Duquesne Dukes
74,East Carolina,East Carolina Pirates
75,East Tennessee State,East Tennessee St Buccaneers
77,Eastern Illinois,Eastern Illinois Panthers
78,Eastern Kentucky,Eastern Kentucky Colonels
79,Eastern Michigan,Eastern Michigan Eagles
80,Eastern Washington,Eastern Washington Eagles
81,Elon,Elon Phoenix
82,Evansville,Evansville Purple Aces
83,Fairfield,Fairfield Stags
84,Fairleigh Dickinson,Fairleigh Dickinson Knights
85,Florida A&M,Florida A&M Rattlers
86,Florida Atlantic,Florida Atlantic Owls
87,Florida,Florida Gators
88,Florida Gulf Coast,Florida Gulf Coast Eagles
89,Florida International,Florida Int'l Golden Panthers
90,Florida State,Florida St Seminoles
91,Fordham,Fordham Rams
237,Purdue Fort Wayne,Fort Wayne Mastodons
92,Fresno State,Fresno St Bulldogs
93,Furman,Furman Paladins
94,Gardner-Webb,Gardner-Webb Bulldogs
95,George Mason,George Mason Patriots
96,George Washington,GW Revolutionaries
97,Georgetown,Georgetown Hoyas
98,Georgia,Georgia Bulldogs
99,Georgia Southern,Georgia Southern Eagles
100,Georgia State,Georgia St Panthers
101,Georgia Tech,Georgia Tech Yellow Jackets
102,Gonzaga,Gonzaga Bulldogs
103,Grambling,Grambling St Tigers
104,Grand Canyon,Grand Canyon Antelopes
105,Green Bay,Green Bay Phoenix
106,Hampton,Hampton Pirates
107,Harvard,Harvard Crimson
108,Hawai'i,Hawai'i Rainbow Warriors
109,High Point,High Point Panthers
110,Hofstra,Hofstra Pride
111,Holy Cross,Holy Cross Crusaders
112,Houston Christian,Houston Baptist Huskies
113,Houston,Houston Cougars
114,Howard,Howard Bison
116,Idaho State,Idaho State Bengals
117,Idaho,Idaho Vandals
118,Illinois,Illinois Fighting Illini
119,Illinois State,Illinois St Redbirds
120,Incarnate Word,Incarnate Word Cardinals
121,Indiana,Indiana Hoosiers
122,Indiana State,Indiana St Sycamores
123,Iona,Iona Gaels
124,Iowa,Iowa Hawkeyes
125,Iowa State,Iowa State Cyclones
115,IU Indianapolis,IUPUI Jaguars
126,Jackson State,Jackson St Tigers
127,Jacksonville,Jacksonville Dolphins
128,Jacksonville State,Jacksonville St Gamecocks
129,James Madison,James Madison Dukes
