game_date,gameId,Team,Opp,Raw_Spread,Raw_Total,ML_prob
3/20/26,372530,11,146,-17,146.5,0.942727
3/20/26,372530,146,11,17,146.5,0.057273
3/21/26,372531,87,232,-20.5,156.5,0.95423
3/21/26,372531,232,87,20.5,156.5,0.04577
3/20/26,372532,125,290,-14.5,145,0.903596
3/20/26,372532,290,125,14.5,145,0.096404
3/20/26,372533,236,362,-17,152,0.933562
3/20/26,372533,362,236,17,152,0.066438
3/20/26,372534,314,93,-20,144,0.943978
3/20/26,372534,93,314,20,144,0.056022
3/20/26,372535,339,357,-10.5,145.5,0.875931
3/20/26,372535,357,339,10.5,145.5,0.124069
3/20/26,372536,5,110,-10,163.5,0.807822
3/20/26,372536,110,5,10,163.5,0.192178
3/20/26,372537,131,39,-8.5,144,0.841895
3/20/26,372537,39,131,8.5,144,0.158105
3/20/26,372538,298,3,-4,154,0.682505
3/20/26,372538,3,298,4,154,0.317495
3/20/26,372539,279,209,-8,138,0.810664
3/20/26,372539,209,279,8,138,0.189336
3/20/26,372540,292,167,-7.5,154.5,0.769929
3/20/26,372540,167,292,7.5,154.5,0.230071
3/20/26,372541,135,261,0,155.5,0.5454
3/20/26,372541,261,135,0,155.5,0.4546
3/20/26,372542,168,177,-7,151,0.745196
3/20/26,372542,177,168,7,151,0.254804
3/20/26,372543,313,312,-5,151.5,0.696023
3/20/26,372543,312,313,5,151.5,0.303977
3/20/26,372544,338,329,-1.5,142,0.538826
3/20/26,372544,329,338,1.5,142,0.461174
3/20/26,372545,52,124,2,136.5,0.459267
3/20/26,372545,124,52,-2,136.5,0.540733
3/21/26,372562,170,252,-10,153.5,0.859332
3/21/26,372562,252,170,10,153.5,0.140668
3/21/26,372563,169,150,-6,145.5,372563
3/21/26,372563,150,169,6,145.5,0.262315
3/21/26,372564,72,287,-12,147,0.869636
3/21/26,372564,287,72,12,147,0.130364
3/21/26,372565,113,293,-12,150,0.846447
3/21/26,372565,293,113,12,150,0.153553
3/21/26,372566,102,295,-11,151.5,0.813206
3/21/26,372566,295,102,11,151.5,0.186794
3/21/26,372567,118,333,-6.5,151,0.75246
3/21/26,372567,333,118,6.5,151,0.24754
3/22/26,372568,188,336,0.5,150,0.451744
3/22/26,372568,336,188,-0.5,150,0.548256
3/22/26,372569,12,109,-4.5,160.5,0.606139
3/22/26,372569,109,12,4.5,160.5,0.393861
