API,kenpom,new_kenpom,massey,evanmiya,drating,barttorvik
Abilene Christian Wildcats,Abilene Christian,Abilene Christian WAC,Abilene Chr,Abilene Christian,Abilene Christian Wildcats,Abilene Christian
Air Force Falcons,Air Force,Air Force MWC,Air Force,Air Force,Air Force Falcons,Air Force
Akron Zips,Akron,Akron MAC,Akron,Akron,Akron Zips,Akron
Alabama A&M Bulldogs,Alabama A&M,Alabama A&M SWAC,Alabama A&M,Alabama A&M,Alabama A&M Bulldogs,Alabama A&M
Alabama Crimson Tide,Alabama,Alabama SEC,Alabama,Alabama,Alabama Crimson Tide,Alabama
Alabama St Hornets,Alabama St.,Alabama St. SWAC,Alabama St,Alabama State,Alabama State Hornets,Alabama St.
Albany Great Danes,Albany,Albany AE,SUNY Albany,Albany,Albany Great Danes,Albany
Alcorn St Braves,Alcorn St.,Alcorn St. SWAC,Alcorn St,Alcorn State,Alcorn State Braves,Alcorn St.
American Eagles,American,American PL,American Univ,American,American University Eagles,American
Appalachian St Mountaineers,Appalachian St.,Appalachian St. SB,Appalachian St,Appalachian State,Appalachian State Mountaineers,Appalachian St.
Arizona St Sun Devils,Arizona St.,Arizona St. B,Arizona St,Arizona State,Arizona State Sun Devils,Arizona St.
Arizona Wildcats,Arizona,Arizona B,Arizona,Arizona,Arizona Wildcats,Arizona
Arkansas Razorbacks,Arkansas,Arkansas SEC,Arkansas,Arkansas,Arkansas Razorbacks,Arkansas
Arkansas St Red Wolves,Arkansas St.,Arkansas St. SB,Arkansas St,Arkansas State,Arkansas State Red Wolves,Arkansas St.
Arkansas-Little Rock Trojans,Little Rock,Little Rock OVC,Ark Little Rock,Arkansas-Little Rock,Little Rock Trojans,Little Rock
Arkansas-Pine Bluff Golden Lions,Arkansas Pine Bluff,Arkansas Pine Bluff SWAC,Ark Pine Bluff,Arkansas-Pine Bluff,Ark Pine Bluff Golden Lions,Arkansas Pine Bluff
Army Knights,Army,Army PL,Army,Army,Army Black Knights,Army
Auburn Tigers,Auburn,Auburn SEC,Auburn,Auburn,Auburn Tigers,Auburn
Austin Peay Governors,Austin Peay,Austin Peay ASun,Austin Peay,Austin Peay,Austin Peay Governors,Austin Peay
Ball State Cardinals,Ball St.,Ball St. MAC,Ball St,Ball State,Ball State Cardinals,Ball St.
Baylor Bears,Baylor,Baylor B,Baylor,Baylor,Baylor Bears,Baylor
Bellarmine Knights,Bellarmine,Bellarmine ASun,Bellarmine,Bellarmine,Bellarmine Knights,Bellarmine
