Home Team,Away Team,Team,Game Date,spread_barttorvik,win_prob_barttorvik,projected_total_barttorvik
Florida St Seminoles,Miami Hurricanes,Florida St Seminoles,20260224,0.2,0.49,161.0
Florida St Seminoles,Miami Hurricanes,Miami Hurricanes,20260224,-0.2,0.51,161.0
Miami Hurricanes,Florida St Seminoles,Miami Hurricanes,20260224,-0.2,0.51,161.0
Miami Hurricanes,Florida St Seminoles,Florida St Seminoles,20260224,0.2,0.49,161.0
Oklahoma Sooners,Auburn Tigers,Oklahoma Sooners,20260224,0.4,0.49,161.0
Oklahoma Sooners,Auburn Tigers,Auburn Tigers,20260224,-0.4,0.51,161.0
Auburn Tigers,Oklahoma Sooners,Auburn Tigers,20260224,-0.4,0.51,161.0
Auburn Tigers,Oklahoma Sooners,Oklahoma Sooners,20260224,0.4,0.49,161.0
Nevada Wolf Pack,New Mexico Lobos,Nevada Wolf Pack,20260224,-0.5,0.52,151.0
Nevada Wolf Pack,New Mexico Lobos,New Mexico Lobos,20260224,0.5,0.48,151.0
New Mexico Lobos,Nevada Wolf Pack,New Mexico Lobos,20260224,0.5,0.48,151.0
New Mexico Lobos,Nevada Wolf Pack,Nevada Wolf Pack,20260224,-0.5,0.52,151.0
Missouri Tigers,Tennessee Volunteers,Missouri Tigers,20260224,3.6,0.36,143.0
Missouri Tigers,Tennessee Volunteers,Tennessee Volunteers,20260224,-3.6,0.64,143.0
Tennessee Volunteers,Missouri Tigers,Tennessee Volunteers,20260224,-3.6,0.64,143.0
Tennessee Volunteers,Missouri Tigers,Missouri Tigers,20260224,3.6,0.36,143.0
Virginia Cavaliers,NC State Wolfpack,Virginia Cavaliers,20260224,-6.5,0.73,149.0
Virginia Cavaliers,NC State Wolfpack,NC State Wolfpack,20260224,6.5,0.27,149.0
NC State Wolfpack,Virginia Cavaliers,NC State Wolfpack,20260224,6.5,0.27,149.0
NC State Wolfpack,Virginia Cavaliers,Virginia Cavaliers,20260224,-6.5,0.73,149.0
Baylor Bears,Arizona Wildcats,Baylor Bears,20260224,11.4,0.16000000000000003,158.0
Baylor Bears,Arizona Wildcats,Arizona Wildcats,20260224,-11.4,0.84,158.0
Arizona Wildcats,Baylor Bears,Arizona Wildcats,20260224,-11.4,0.84,158.0
Arizona Wildcats,Baylor Bears,Baylor Bears,20260224,11.4,0.16000000000000003,158.0
Dayton Flyers,Saint Louis Billikens,Dayton Flyers,20260224,5.7,0.30000000000000004,156.0
Dayton Flyers,Saint Louis Billikens,Saint Louis Billikens,20260224,-5.7,0.7,156.0
Saint Louis Billikens,Dayton Flyers,Saint Louis Billikens,20260224,-5.7,0.7,156.0
Saint Louis Billikens,Dayton Flyers,Dayton Flyers,20260224,5.7,0.30000000000000004,156.0
Texas Tech Red Raiders,Cincinnati Bearcats,Texas Tech Red Raiders,20260224,-9.3,0.82,141.0
Texas Tech Red Raiders,Cincinnati Bearcats,Cincinnati Bearcats,20260224,9.3,0.18000000000000005,141.0
Cincinnati Bearcats,Texas Tech Red Raiders,Cincinnati Bearcats,20260224,9.3,0.18000000000000005,141.0
Cincinnati Bearcats,Texas Tech Red Raiders,Texas Tech Red Raiders,20260224,-9.3,0.82,141.0
Oklahoma St Cowboys,West Virginia Mountaineers,Oklahoma St Cowboys,20260224,-1.6,0.57,140.0
Oklahoma St Cowboys,West Virginia Mountaineers,West Virginia Mountaineers,20260224,1.6,0.43000000000000005,140.0
West Virginia Mountaineers,Oklahoma St Cowboys,West Virginia Mountaineers,20260224,1.6,0.43000000000000005,140.0
West Virginia Mountaineers,Oklahoma St Cowboys,Oklahoma St Cowboys,20260224,-1.6,0.57,140.0
South Carolina Gamecocks,Kentucky Wildcats,South Carolina Gamecocks,20260224,3.6,0.36,148.0
South Carolina Gamecocks,Kentucky Wildcats,Kentucky Wildcats,20260224,-3.6,0.64,148.0
Kentucky Wildcats,South Carolina Gamecocks,Kentucky Wildcats,20260224,-3.6,0.64,148.0
Kentucky Wildcats,South Carolina Gamecocks,South Carolina Gamecocks,20260224,3.6,0.36,148.0
BYU Cougars,UCF Knights,BYU Cougars,20260224,-10.2,0.8,169.0
BYU Cougars,UCF Knights,UCF Knights,20260224,10.2,0.19999999999999996,169.0
UCF Knights,BYU Cougars,UCF Knights,20260224,10.2,0.19999999999999996,169.0
UCF Knights,BYU Cougars,BYU Cougars,20260224,-10.2,0.8,169.0
TCU Horned Frogs,Arizona St Sun Devils,TCU Horned Frogs,20260224,-4.2,0.66,150.0
TCU Horned Frogs,Arizona St Sun Devils,Arizona St Sun Devils,20260224,4.2,0.33999999999999997,150.0
Arizona St Sun Devils,TCU Horned Frogs,Arizona St Sun Devils,20260224,4.2,0.33999999999999997,150.0
Arizona St Sun Devils,TCU Horned Frogs,TCU Horned Frogs,20260224,-4.2,0.66,150.0
