Home Team,Away Team,Team,Game Date,spread_evanmiya,win_prob_evanmiya,projected_total_evanmiya
Florida,Connecticut,Florida,2025-12-09,1.9,0.429480707775282,147.084604442873
Florida,Connecticut,Connecticut,2025-12-09,-1.9,0.570519292224718,147.084604442873
Connecticut,Florida,Connecticut,2025-12-09,-1.9,0.570519292224718,147.084604442873
Connecticut,Florida,Florida,2025-12-09,1.9,0.429480707775282,147.084604442873
Michigan,Villanova,Michigan,2025-12-09,-20.3,0.964830725566305,151.036765869714
Michigan,Villanova,Villanova,2025-12-09,20.3,0.0351692744336948,151.036765869714
Villanova,Michigan,Villanova,2025-12-09,20.3,0.0351692744336948,151.036765869714
Villanova,Michigan,Michigan,2025-12-09,-20.3,0.964830725566305,151.036765869714
BYU,Clemson,BYU,2025-12-09,-7.1,0.745196136366337,146.856558919719
BYU,Clemson,Clemson,2025-12-09,7.1,0.254803863633663,146.856558919719
Clemson,BYU,Clemson,2025-12-09,7.1,0.254803863633663,146.856558919719
Clemson,BYU,BYU,2025-12-09,-7.1,0.745196136366337,146.856558919719
Ohio State,Illinois,Ohio State,2025-12-09,-3.2,0.614972698348601,158.231041263419
Ohio State,Illinois,Illinois,2025-12-09,3.2,0.385027301651399,158.231041263419
Illinois,Ohio State,Illinois,2025-12-09,3.2,0.385027301651399,158.231041263419
Illinois,Ohio State,Ohio State,2025-12-09,-3.2,0.614972698348601,158.231041263419
Indiana,Penn State,Indiana,2025-12-09,-12,0.862473205258184,151.799023930695
Indiana,Penn State,Penn State,2025-12-09,12,0.137526794741816,151.799023930695
Penn State,Indiana,Penn State,2025-12-09,12,0.137526794741816,151.799023930695
Penn State,Indiana,Indiana,2025-12-09,-12,0.862473205258184,151.799023930695
Rhode Island,McNeese State,Rhode Island,2025-12-09,1.4,0.44841261267839,144.577489912395
Rhode Island,McNeese State,McNeese State,2025-12-09,-1.4,0.55158738732161,144.577489912395
McNeese State,Rhode Island,McNeese State,2025-12-09,-1.4,0.55158738732161,144.577489912395
McNeese State,Rhode Island,Rhode Island,2025-12-09,1.4,0.44841261267839,144.577489912395
San Diego,USC,San Diego,2025-12-09,14.2,0.102348389068609,156.096583870708
San Diego,USC,USC,2025-12-09,-14.2,0.897651610931391,156.096583870708
USC,San Diego,USC,2025-12-09,-14.2,0.897651610931391,156.096583870708
USC,San Diego,San Diego,2025-12-09,14.2,0.102348389068609,156.096583870708
Providence,Brown,Providence,2025-12-09,-16.4,0.932654357717776,148.09824364611
Providence,Brown,Brown,2025-12-09,16.4,0.0673456422822241,148.09824364611
Brown,Providence,Brown,2025-12-09,16.4,0.0673456422822241,148.09824364611
Brown,Providence,Providence,2025-12-09,-16.4,0.932654357717776,148.09824364611
Virginia,Maryland-Eastern Shore,Virginia,2025-12-09,-31.9,0.998605026679972,134.700760383596
Virginia,Maryland-Eastern Shore,Maryland-Eastern Shore,2025-12-09,31.9,0.00139497332002836,134.700760383596
Maryland-Eastern Shore,Virginia,Maryland-Eastern Shore,2025-12-09,31.9,0.00139497332002836,134.700760383596
Maryland-Eastern Shore,Virginia,Virginia,2025-12-09,-31.9,0.998605026679972,134.700760383596
Colorado State,Dartmouth,Colorado State,2025-12-09,-13.7,0.895544189728701,152.889307319046
Colorado State,Dartmouth,Dartmouth,2025-12-09,13.7,0.104455810271299,152.889307319046
Dartmouth,Colorado State,Dartmouth,2025-12-09,13.7,0.104455810271299,152.889307319046
Dartmouth,Colorado State,Colorado State,2025-12-09,-13.7,0.895544189728701,152.889307319046
Kentucky,North Carolina Central,Kentucky,2025-12-09,-42.2,0.999900907493442,147.622410328213
Kentucky,North Carolina Central,North Carolina Central,2025-12-09,42.2,0.0000990925065575965,147.622410328213
North Carolina Central,Kentucky,North Carolina Central,2025-12-09,42.2,0.0000990925065575965,147.622410328213
North Carolina Central,Kentucky,Kentucky,2025-12-09,-42.2,0.999900907493442,147.622410328213
Arizona State,Northern Arizona,Arizona State,2025-12-09,-15,0.914205299540666,149.745904406556
Arizona State,Northern Arizona,Northern Arizona,2025-12-09,15,0.0857947004593336,149.745904406556
Northern Arizona,Arizona State,Northern Arizona,2025-12-09,15,0.0857947004593336,149.745904406556
Northern Arizona,Arizona State,Arizona State,2025-12-09,-15,0.914205299540666,149.745904406556
West Virginia,Arkansas-Little Rock,West Virginia,2025-12-09,-21.1,0.976679620074621,135.788898978102
West Virginia,Arkansas-Little Rock,Arkansas-Little Rock,2025-12-09,21.1,0.0233203799253789,135.788898978102
