Home Team,Away Team,Team,Game Date,spread_evanmiya,win_prob_evanmiya,projected_total_evanmiya
Florida Gators,Arizona Wildcats,Florida Gators,2025-11-03,-2.9,0.59824690744065,157.525093153108
Florida Gators,Arizona Wildcats,Arizona Wildcats,2025-11-03,2.9,0.40175309255935,157.525093153108
Arizona Wildcats,Florida Gators,Arizona Wildcats,2025-11-03,2.9,0.40175309255935,157.525093153108
Arizona Wildcats,Florida Gators,Florida Gators,2025-11-03,-2.9,0.59824690744065,157.525093153108
BYU Cougars,Villanova Wildcats,BYU Cougars,2025-11-03,-11.4,0.837220571216449,150.60481261428
BYU Cougars,Villanova Wildcats,Villanova Wildcats,2025-11-03,11.4,0.162779428783551,150.60481261428
Villanova Wildcats,BYU Cougars,Villanova Wildcats,2025-11-03,11.4,0.162779428783551,150.60481261428
Villanova Wildcats,BYU Cougars,BYU Cougars,2025-11-03,-11.4,0.837220571216449,150.60481261428
Michigan Wolverines,Oakland Golden Grizzlies,Michigan Wolverines,2025-11-03,-29.6,0.993449261747599,149.189723651842
Michigan Wolverines,Oakland Golden Grizzlies,Oakland Golden Grizzlies,2025-11-03,29.6,0.0065507382524009,149.189723651842
Oakland Golden Grizzlies,Michigan Wolverines,Oakland Golden Grizzlies,2025-11-03,29.6,0.0065507382524009,149.189723651842
Oakland Golden Grizzlies,Michigan Wolverines,Michigan Wolverines,2025-11-03,-29.6,0.993449261747599,149.189723651842
St. John's Red Storm,Quinnipiac Bobcats,St. John's Red Storm,2025-11-03,-27.8,0.988575938397585,155.992181887895
St. John's Red Storm,Quinnipiac Bobcats,Quinnipiac Bobcats,2025-11-03,27.8,0.0114240616024148,155.992181887895
Quinnipiac Bobcats,St. John's Red Storm,Quinnipiac Bobcats,2025-11-03,27.8,0.0114240616024148,155.992181887895
Quinnipiac Bobcats,St. John's Red Storm,St. John's Red Storm,2025-11-03,-27.8,0.988575938397585,155.992181887895
Michigan St Spartans,Colgate Raiders,Michigan St Spartans,2025-11-03,-23.7,0.979300124800942,146.488723878579
Michigan St Spartans,Colgate Raiders,Colgate Raiders,2025-11-03,23.7,0.0206998751990576,146.488723878579
Colgate Raiders,Michigan St Spartans,Colgate Raiders,2025-11-03,23.7,0.0206998751990576,146.488723878579
Colgate Raiders,Michigan St Spartans,Michigan St Spartans,2025-11-03,-23.7,0.979300124800942,146.488723878579
Saint Mary's Gaels,St. Thomas (MN) Tommies,Saint Mary's Gaels,2025-11-03,-16.4,0.920197339377343,140.908258795521
Saint Mary's Gaels,St. Thomas (MN) Tommies,St. Thomas (MN) Tommies,2025-11-03,16.4,0.0798026606226574,140.908258795521
St. Thomas (MN) Tommies,Saint Mary's Gaels,St. Thomas (MN) Tommies,2025-11-03,16.4,0.0798026606226574,140.908258795521
St. Thomas (MN) Tommies,Saint Mary's Gaels,Saint Mary's Gaels,2025-11-03,-16.4,0.920197339377343,140.908258795521
UCLA Bruins,Eastern Washington Eagles,UCLA Bruins,2025-11-03,-28.1,0.991841342128436,148.650402439514
UCLA Bruins,Eastern Washington Eagles,Eastern Washington Eagles,2025-11-03,28.1,0.0081586578715635,148.650402439514
Eastern Washington Eagles,UCLA Bruins,Eastern Washington Eagles,2025-11-03,28.1,0.0081586578715635,148.650402439514
Eastern Washington Eagles,UCLA Bruins,UCLA Bruins,2025-11-03,-28.1,0.991841342128436,148.650402439514
Arkansas Razorbacks,Southern Jaguars,Arkansas Razorbacks,2025-11-03,-26.5,0.98729842113845,148.174350588559
Arkansas Razorbacks,Southern Jaguars,Southern Jaguars,2025-11-03,26.5,0.0127015788615497,148.174350588559
Southern Jaguars,Arkansas Razorbacks,Southern Jaguars,2025-11-03,26.5,0.0127015788615497,148.174350588559
Southern Jaguars,Arkansas Razorbacks,Arkansas Razorbacks,2025-11-03,-26.5,0.98729842113845,148.174350588559
Gonzaga Bulldogs,Texas Southern Tigers,Gonzaga Bulldogs,2025-11-03,-33.1,0.996986517294939,156.680275337322
Gonzaga Bulldogs,Texas Southern Tigers,Texas Southern Tigers,2025-11-03,33.1,0.0030134827050608,156.680275337322
Texas Southern Tigers,Gonzaga Bulldogs,Texas Southern Tigers,2025-11-03,33.1,0.0030134827050608,156.680275337322
Texas Southern Tigers,Gonzaga Bulldogs,Gonzaga Bulldogs,2025-11-03,-33.1,0.996986517294939,156.680275337322
Auburn Tigers,Bethune-Cookman Wildcats,Auburn Tigers,2025-11-03,-23.9,0.976924738739463,150.577528304873
Auburn Tigers,Bethune-Cookman Wildcats,Bethune-Cookman Wildcats,2025-11-03,23.9,0.0230752612605367,150.577528304873
Bethune-Cookman Wildcats,Auburn Tigers,Bethune-Cookman Wildcats,2025-11-03,23.9,0.0230752612605367,150.577528304873
Bethune-Cookman Wildcats,Auburn Tigers,Auburn Tigers,2025-11-03,-23.9,0.976924738739463,150.577528304873
