Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
UMBC Retrievers vs. Buffalo Bulls,Dec 09 05:00PM ET,Buffalo Bulls,2,-3.5,0.35,-2.0,0.4495651839673769,-3.5,-0.07424433984214696,1.9,3.2,1.0,-0.3,-1.1,0.5571899929363697,-170,0.6032528339083293,-0.07243963669325992,0.078,0.38,0.52,0.51112715196441,2,145.5,148.0,146.5,145.5,145.5,1.3,147.0,149.0,149.338623755528,146.76,0.5155554142940497,0.4844445857059503,-0.008254109515474117,-0.039364938103573555,1,1,1,0
UMBC Retrievers vs. Buffalo Bulls,Dec 09 05:00PM ET,UMBC Retrievers,2,3.5,-0.35,2.0,0.5504348160326231,3.5,0.028903715554154275,1.9,-3.2,-1.0,0.3,1.1,0.4428100070636304,141,0.39674716609167077,0.02871535685786908,0.078,0.62,0.48,0.48887284803559,2,145.5,148.0,146.5,145.5,145.5,1.3,147.0,149.0,149.338623755528,146.76,0.5155554142940497,0.4844445857059503,-0.008254109515474117,-0.039364938103573555,1,1,1,0
VMI Keydets vs. Loyola (MD) Greyhounds,Dec 09 06:00PM ET,Loyola (MD) Greyhounds,3,-2.5,1.0,-1.0,0.452000757288194,-2.5,-0.07180876652132984,1.0,2.2,1.0,0.3,,0.5257377469977162,-142,0.5612444702298934,-0.06103911250641603,0.049,0.41,0.5,0.490231023765539,1,149.0,149.0,149.0,149.0,149.0,1.8,149.0,151.0,147.427401460897,,0.4914489286915362,0.4914489286915362,-0.03236059511798761,-0.03236059511798761,0,1,0,0
VMI Keydets vs. Loyola (MD) Greyhounds,Dec 09 06:00PM ET,VMI Keydets,3,2.5,-1.0,1.0,0.547999242711806,2.5,0.024189718902282165,1.0,-2.2,-1.0,-0.3,,0.47426225300228386,118,0.4387555297701066,0.015546656672008607,0.049,0.59,0.5,0.509768976234461,1,149.0,149.0,149.0,149.0,149.0,1.8,149.0,151.0,147.427401460897,,0.4914489286915362,0.4914489286915362,-0.03236059511798761,-0.03236059511798761,0,1,0,0
BYU Cougars vs. Clemson Tigers,Dec 09 06:30PM ET,BYU Cougars,3,-5.5,-5.6,-5.5,0.5,-5.5,-0.02494061757719712,1.2,-4.8,,-7.1,-5.6,0.6998673480450726,-250,0.6871366279069767,-0.014418366240641856,0.046,0.68,,0.745196136366337,2,150.5,147.0,149.0,150.5,150.5,3.6,147.0,,146.856558919719,153.23000000000002,0.4766742692132684,0.5233257307867316,-0.04713525459625545,-0.0004837930227922227,0,0,0,0
BYU Cougars vs. Clemson Tigers,Dec 09 06:30PM ET,Clemson Tigers,3,5.5,5.6,5.5,0.5,5.5,-0.023809523809523836,1.2,4.8,,7.1,5.6,0.30013265195492733,207,0.3128633720930232,-0.02509209685522601,0.046,0.3199999999999999,,0.254803863633663,2,150.5,147.0,149.0,150.5,150.5,3.6,147.0,,146.856558919719,153.23000000000002,0.4766742692132684,0.5233257307867316,-0.04713525459625545,-0.0004837930227922227,0,0,0,0
Michigan Wolverines vs. Villanova Wildcats,Dec 09 06:30PM ET,Michigan Wolverines,3,-17.0,-18.4,-17.5,0.5160342270972185,-17.0,-0.013377537608663892,17.2,-16.5,15.0,-20.3,-21.0,0.9249972171977181,-2296,0.9199944343954362,-0.033263652367499286,0.028,0.93,0.91,0.964830725566305,3,153.5,149.51838293485702,152.0,153.5,153.5,3.0,148.0,147.0,151.036765869714,153.51,0.477441865510769,0.5225581344892309,-0.04636765829875483,-0.001251389320292895,0,0,0,0
Michigan Wolverines vs. Villanova Wildcats,Dec 09 06:30PM ET,Villanova Wildcats,3,17.0,18.4,17.5,0.4839657729027816,17.0,-0.03294243965760485,17.2,16.5,-15.0,20.3,21.0,0.07500278280228184,1100,0.08000556560456377,-0.008330550531051473,0.028,0.0699999999999999,0.09,0.0351692744336948,3,153.5,149.51838293485702,152.0,153.5,153.5,3.0,148.0,147.0,151.036765869714,153.51,0.477441865510769,0.5225581344892309,-0.04636765829875483,-0.001251389320292895,0,0,0,0
Ball State Cardinals vs. South Dakota St Jackrabbits,Dec 09 07:00PM ET,Ball State Cardinals,2,5.5,3.7,5.0,0.5168516246190507,5.5,-0.006957899190473182,5.8,3.8,-5.0,3.6,9.0,0.32855307640297493,201,0.31710615280594995,-0.003130091913856714,0.029,0.3399999999999999,0.31,0.368606563462426,2,140.5,137.336456659493,139.0,140.5,140.5,1.9,136.0,139.0,138.672913318986,135.26999999999998,0.4766742692132684,0.5233257307867316,-0.04713525459625545,-0.0004837930227922227,0,0,0,1
Stony Brook Seawolves vs. Columbia Lions,Dec 09 07:00PM ET,Columbia Lions,3,-3.5,-3.0999999999999996,-3.5,0.5,-3.5,-0.02494061757719712,4.4,-3.3,4.0,-2.9,-6.4,0.6215423848047836,-175,0.6130847696095674,-0.014821251558852722,0.017,0.63,0.64,0.606577312303753,2,146.25,146.223937675477,146.0,146.25,146.25,0.3,146.0,146.0,146.447875350954,146.47,0.49222081404751,0.49222081404751,-0.031588709762013834,-0.031588709762013834,0,0,0,0
