"name","ncaa_name","reference_name","logos","conference","conference_2","url_conference","primary","secondary","tertiary","quaternary","background","border"
"A&M-Corpus Christi","A&M-Corpus Christi","A&M-Corpus Christi","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/am-corpus-chris.svg","Southland","Southland","https://www.southland.org/images/main_logo.png","#0067C5","#007F3E",NA,NA,"#002649","#ffffff"
"Abilene Christian Wildcats","Abilene Christian","Abilene Christian ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/abilene-christian.svg","Southland","Southland","https://www.southland.org/images/main_logo.png","#461D7C","#ffffff",NA,NA,"#002649","#ffffff"
"Air Force","Air Force","Air Force","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/air-force.svg","Mountain West","MWC","https://sportslogohistory.com/wp-content/uploads/2018/03/mountain_west_conference_2011-pres.png","#003087","#8A8D8F","#B1B3B3","#FFC72C","#4a317a","#AFAFAF"
"Akron Zips","Akron","Akron","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/akron.svg","MAC","MAC","https://sportslogohistory.com/wp-content/uploads/2019/02/mid-american_conference_2008-pres.png","#041E42","#A89968",NA,NA,"#142846","#479F66"
"Alabama A&M","Alabama A&M","Alabama A&M","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/alabama-am.svg","SWAC","SWAC","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Southwestern_Athletic_Conference_logo.svg/250px-Southwestern_Athletic_Conference_logo.svg.png","#9E1B32","#828A8F","#ffffff",NA,"#ed192d","#000000"
"Alabama Crimson Tide","Alabama","Alabama ","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/alabama.svg","SEC","SEC","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Southeastern_Conference_logo.svg/1200px-Southeastern_Conference_logo.svg.png","#660000","#ffffff",NA,NA,"#264279","#F8D366"
"Alabama State Hornets","Alabama St.","Alabama State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/alabama-st.svg","SWAC","SWAC","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Southwestern_Athletic_Conference_logo.svg/250px-Southwestern_Athletic_Conference_logo.svg.png","#C99700","#000000",NA,NA,"#ed192d","#000000"
"Albany (NY)","Albany (NY)","Albany (NY)","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/albany-ny.svg","America East","Am. East","https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/America_East.png/200px-America_East.png","#461660","#EEB211",NA,NA,"#141b4d","#00b5e2"
"Alcorn","Alcorn","Alcorn State","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/alcorn.svg","SWAC","SWAC","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Southwestern_Athletic_Conference_logo.svg/250px-Southwestern_Athletic_Conference_logo.svg.png","#46166A","#E9A713",NA,NA,"#ed192d","#000000"
"American Eagles","American","American","https://i.turner.ncaa.com/sites/default/files/images/logos/schools/bgd/american.svg","Patriot","Patriot","https://sportslogohistory.com/wp-content/uploads/2019/05/patriot_league_2000-pres.png","#C4122E","#005099",NA,NA,"#1d366b","#DA3637"
