Game,Game Time,Home Team,Away Team,Team,Moneyline,Devigged Probability,Opening Spread,Spread Price,Projected Total,Over Point,Over Price,Under Point,Under Price
UMBC Retrievers vs. Buffalo Bulls,Dec 09 05:00PM ET,UMBC Retrievers,Buffalo Bulls,Buffalo Bulls,-170.0,0.6032528339083293,-3.5,-110.0,145.5,145.5,-110.0,145.5,-110.0
UMBC Retrievers vs. Buffalo Bulls,Dec 09 05:00PM ET,UMBC Retrievers,Buffalo Bulls,UMBC Retrievers,141.49068322981367,0.39674716609167077,3.5,-109.0,145.5,145.5,-110.0,145.5,-110.0
VMI Keydets vs. Loyola (MD) Greyhounds,Dec 09 06:00PM ET,VMI Keydets,Loyola (MD) Greyhounds,Loyola (MD) Greyhounds,-142.00000000000003,0.5612444702298934,-2.5,-110.0,149.0,149.0,-110.0,149.0,-110.0
VMI Keydets vs. Loyola (MD) Greyhounds,Dec 09 06:00PM ET,VMI Keydets,Loyola (MD) Greyhounds,VMI Keydets,117.99999999999999,0.4387555297701066,2.5,-110.0,149.0,149.0,-110.0,149.0,-110.0
BYU Cougars vs. Clemson Tigers,Dec 09 06:30PM ET,BYU Cougars,Clemson Tigers,BYU Cougars,-250.00000000000003,0.6871366279069767,-5.5,-110.5,150.5,150.5,-110.0,150.5,-110.0
BYU Cougars vs. Clemson Tigers,Dec 09 06:30PM ET,BYU Cougars,Clemson Tigers,Clemson Tigers,207.47967479674796,0.3128633720930232,5.5,-110.0,150.5,150.5,-110.0,150.5,-110.0
Michigan Wolverines vs. Villanova Wildcats,Dec 09 06:30PM ET,Michigan Wolverines,Villanova Wildcats,Michigan Wolverines,-2295.833333333333,0.9199944343954362,-17.0,-112.5,153.5,153.5,-110.0,153.5,-110.0
Michigan Wolverines vs. Villanova Wildcats,Dec 09 06:30PM ET,Michigan Wolverines,Villanova Wildcats,Villanova Wildcats,1100.0000000000002,0.08000556560456377,17.0,-107.0,153.5,153.5,-110.0,153.5,-110.0
West Virginia Mountaineers vs. Arkansas-Little Rock Trojans,Dec 09 07:00PM ET,West Virginia Mountaineers,Arkansas-Little Rock Trojans,West Virginia Mountaineers,-18379.03225806446,0.963480681919412,-27.5,-110.0,131.5,131.5,-110.0,131.5,-110.0
West Virginia Mountaineers vs. Arkansas-Little Rock Trojans,Dec 09 07:00PM ET,West Virginia Mountaineers,Arkansas-Little Rock Trojans,Arkansas-Little Rock Trojans,2552.631578947369,0.036519318080588004,27.5,-110.0,131.5,131.5,-110.0,131.5,-110.0
Virginia Cavaliers vs. Maryland-Eastern Shore Hawks,Dec 09 07:00PM ET,Virginia Cavaliers,Maryland-Eastern Shore Hawks,Virginia Cavaliers,,,-37.5,-110.0,135.5,135.5,-110.0,135.5,-110.0
