Game,Game Time,Opening Odds Time,Team,total_category,market_spread,Consensus Spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Current Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Appalachian St Mountaineers vs. James Madison Dukes,Jan 15 06:30PM ET,2026-01-14 20:38:27 UTC,James Madison Dukes,1,7.5,7.5,2.85,5.5,0.5691433811387439,1.5,0.0342596602085113,-0.0295629400251818,1.0,4.5,2.0,2.9,2.8,0.3307900619855248,114.0,240,0.2767295597484277,0.0366724149267013,-0.0561402128893714,0.056,0.31,0.42,0.384850564222622,2,135.0,132.5,134.0,133.5,135.0,2.1,131.0,134.0,134.903560706065,130.61,0.4766713132888294,0.5077821418769288,-0.0471382105206944,-0.0376724035776165,-0.0348837209302325,-0.0121951219512195,1,1,0,1
Albany Great Danes vs. Binghamton Bearcats,Jan 15 06:30PM ET,2026-01-15 01:54:26 UTC,Binghamton Bearcats,1,8.5,8.5,10.3,9.0,0.4826321819260377,7.5,-0.0628223635285077,-0.0853185369628556,1.9,13.0,9.0,9.2,11.4,0.2224012100516788,310.0,265,0.2562949429098816,-0.0516228139723452,-0.0320030121123412,0.049,0.1099999999999999,0.2,0.188507477193476,2,129.5,144.372478890076,135.5,143.5,129.5,1.2,145.0,145.0,143.744957780152,142.45,0.5925110663595023,0.4074889336404976,0.052281181302031,-0.1208129531519552,-0.0205227008399627,-0.0270099551832592,1,1,1,0
Albany Great Danes vs. Binghamton Bearcats,Jan 15 06:30PM ET,2026-01-15 01:54:26 UTC,Albany Great Danes,1,-8.5,-8.5,-10.3,-9.0,0.5173678180739623,-7.5,-0.0064417057355615,0.0382396940814036,1.9,-13.0,-9.0,-9.2,-11.4,0.7775987899483211,-395.0,-388,0.7437050570901182,-0.0175517117239197,-0.0113808184143217,0.049,0.89,0.8,0.811492522806524,2,129.5,144.372478890076,135.5,143.5,129.5,1.2,145.0,145.0,143.744957780152,142.45,0.5925110663595023,0.4074889336404976,0.052281181302031,-0.1208129531519552,-0.0205227008399627,-0.0270099551832592,1,1,1,0
IUPUI Jaguars vs. Robert Morris Colonials,Jan 15 06:30PM ET,2026-01-14 20:51:32 UTC,IUPUI Jaguars,3,7.5,7.5,5.2,6.5,0.5320425632110974,4.5,0.0015261312862148,-0.0348837209302325,1.1,4.7,7.0,5.7,4.5,0.2839455478182876,185.0,250,0.2688172043010752,-0.0020021646000129,-0.0288752928701033,0.045,0.3399999999999999,0.25,0.2990738913355,2,169.5,164.43361390854352,167.5,162.5,169.5,2.6,169.0,165.0,163.867227817087,163.38,0.4689128120678558,0.5310871879321442,-0.054896711741668,-0.0122918075016458,-0.0004837930227922,-0.0471352545962555,1,0,0,1
Appalachian St Mountaineers vs. James Madison Dukes,Jan 15 06:30PM ET,2026-01-14 20:38:27 UTC,Appalachian St Mountaineers,1,-7.5,-7.5,-2.85,-5.5,0.4308566188612561,-1.5,-0.1018536615125756,-0.0175159028562702,1.0,-4.5,-2.0,-2.9,-2.8,0.6692099380144751,-135.0,-332,0.7232704402515724,-0.0995066395256317,0.0147323453945474,0.056,0.69,0.58,0.615149435777378,2,135.0,132.5,134.0,133.5,135.0,2.1,131.0,134.0,134.903560706065,130.61,0.4766713132888294,0.5077821418769288,-0.0471382105206944,-0.0376724035776165,-0.0348837209302325,-0.0121951219512195,1,1,0,1
IUPUI Jaguars vs. Robert Morris Colonials,Jan 15 06:30PM ET,2026-01-14 20:51:32 UTC,Robert Morris Colonials,3,-7.5,-7.5,-5.2,-6.5,0.4679574367889025,-4.5,-0.0722724482685687,-0.0121951219512195,1.1,-4.7,-7.0,-5.7,-4.5,0.7160544521817124,-225.0,-350,0.7311827956989247,-0.0617233255960654,-0.0123249929122256,0.045,0.66,0.75,0.7009261086645,2,169.5,164.43361390854352,167.5,162.5,169.5,2.6,169.0,165.0,163.867227817087,163.38,0.4689128120678558,0.5310871879321442,-0.054896711741668,-0.0122918075016458,-0.0004837930227922,-0.0471352545962555,1,0,0,1
Monmouth Hawks vs. Drexel Dragons,Jan 15 07:00PM ET,2026-01-14 21:05:10 UTC,Monmouth Hawks,1,-5.5,-5.5,-6.75,-6.0,0.5173678180739623,-5.5,-0.0064417057355615,-0.0064417057355615,1.3,-6.5,-7.0,-5.0,-8.2,0.6973544897107451,-245.0,-247,0.6847089794214903,-0.014860831200228,-0.01661806505948,0.035,0.76,0.71,0.692290407350791,2,127.5,130.0,128.5,128.5,127.5,1.5,129.0,131.0,131.294749894699,128.11,0.5155554142940497,0.4844445857059503,-0.0082541095154741,-0.0393649381035735,-0.0160303378570337,-0.0315887097620138,0,1,1,0
Northern Kentucky Norse vs. Detroit Mercy Titans,Jan 15 07:00PM ET,2026-01-14 21:05:10 UTC,Northern Kentucky Norse,3,-10.5,-10.5,-8.3,-9.5,0.4679574367889025,-10.5,-0.0636584882696455,-0.0558520870206213,0.7,-7.3,-9.0,-8.2,-8.4,0.8037216549514716,-550.0,-627,0.8245753943486264,-0.0588196771222175,-0.049548719808148,0.027,0.74,0.79,0.782867915554317,3,160.0,159.52,160.0,158.5,160.0,2.9,162.0,159.0,155.113283794206,160.04000000000002,0.4924770562779967,0.4924770562779967,-0.0279066367675668,-0.0347097049513177,-0.0162865800875205,-0.0313324675315271,1,1,0,0
Monmouth Hawks vs. Drexel Dragons,Jan 15 07:00PM ET,2026-01-14 21:05:10 UTC,Drexel Dragons,1,5.5,5.5,6.75,6.0,0.4826321819260377,5.5,-0.0411773418834861,-0.0411773418834861,1.3,6.5,7.0,5.0,8.2,0.3026455102892548,200.0,205,0.3152910205785097,-0.0253114789580569,-0.0256246384735461,0.035,0.24,0.29,0.307709592649209,2,127.5,130.0,128.5,128.5,127.5,1.5,129.0,131.0,131.294749894699,128.11,0.5155554142940497,0.4844445857059503,-0.0082541095154741,-0.0393649381035735,-0.0160303378570337,-0.0315887097620138,0,1,1,0
Northern Kentucky Norse vs. Detroit Mercy Titans,Jan 15 07:00PM ET,2026-01-14 21:05:10 UTC,Detroit Mercy Titans,3,10.5,10.5,8.3,9.5,0.5320425632110974,10.5,0.0163040644217511,0.0082330394015736,0.7,7.3,9.0,8.2,8.4,0.1962783450485283,410.0,445,0.1754246056513737,0.0127766615468448,0.0053556579680273,0.027,0.26,0.21,0.217132084445683,3,160.0,159.52,160.0,158.5,160.0,2.9,162.0,159.0,155.113283794206,160.04000000000002,0.4924770562779967,0.4924770562779967,-0.0279066367675668,-0.0347097049513177,-0.0162865800875205,-0.0313324675315271,1,1,0,0
