Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Niagara Purple Eagles vs. Detroit Mercy Titans,Nov 29 01:00PM ET,Detroit Mercy Titans,2,-1.5,1.9,-0.0,0.4495651839673769,-1.5,-0.07650116674352359,1.7,0.8,3.0,3.4,-0.2,0.47818853974121994,-140,0.5563770794824399,-0.10514479359211343,0.048,0.47,0.4,0.378219661060436,1,143.5,145.39,144.5,143.5,1.5,143.0,145.0,146.427889638303,145.78,0.5170982144352251,0.4829017855647749,-0.006711309374298757,-0.040907738244748915,0,1,0,0
Northern Kentucky Norse vs. Boston Univ. Terriers,Nov 29 01:00PM ET,Northern Kentucky Norse,3,-5.5,-5.0,-5.5,0.5,-5.5,-0.0157384987893463,2.6,-4.2,-2.0,-8.1,-5.8,0.6618240620957309,-225,0.6636481241914617,-0.03048363021196132,0.108,0.66,0.56,0.775851137025221,2,149.5,143.734407947396,147.0,149.5,2.5,144.0,142.0,143.468815894792,147.79000000000002,0.4611631516747801,0.5388368483252198,-0.06824861303110225,0.018453155279656297,0,0,0,1
UCF Knights vs. VMI Keydets,Nov 29 01:00PM ET,VMI Keydets,3,24.5,25.0,24.5,0.5,24.5,-0.023809523809523836,2.9,26.7,20.0,25.3,24.7,0.03369677897075157,2500,0.03739355794150315,-0.004764759490786891,0.01,0.03,0.03,0.0126523253092242,3,160.5,160.0,160.5,160.5,1.7,160.0,160.0,161.983883822648,157.88,0.5,0.5,-0.023809523809523836,-0.023809523809523836,0,1,0,0
UCF Knights vs. VMI Keydets,Nov 29 01:00PM ET,UCF Knights,3,-24.5,-25.0,-24.5,0.5,-24.5,-0.023809523809523836,2.9,-26.7,-20.0,-25.3,-24.7,0.9663032210292484,-10000,0.9626064420584968,-0.02379578887174172,0.01,0.97,0.97,0.987347674690776,3,160.5,160.0,160.5,160.5,1.7,160.0,160.0,161.983883822648,157.88,0.5,0.5,-0.023809523809523836,-0.023809523809523836,0,1,0,0
Northern Kentucky Norse vs. Boston Univ. Terriers,Nov 29 01:00PM ET,Boston Univ. Terriers,3,5.5,5.0,5.5,0.5,5.5,-0.02941176470588236,2.6,4.2,2.0,8.1,5.8,0.33817593790426903,185,0.33635187580853815,-0.01270125507818709,0.108,0.3399999999999999,0.4399999999999999,0.224148862974779,2,149.5,143.734407947396,147.0,149.5,2.5,144.0,142.0,143.468815894792,147.79000000000002,0.4611631516747801,0.5388368483252198,-0.06824861303110225,0.018453155279656297,0,0,0,1
Niagara Purple Eagles vs. Detroit Mercy Titans,Nov 29 01:00PM ET,Niagara Purple Eagles,2,1.5,-1.9,0.0,0.5504348160326231,1.5,0.026625292223099284,1.7,-0.8,-3.0,-3.4,0.2,0.52181146025878,115,0.44362292051756,0.05669518118901257,0.048,0.53,0.6,0.621780338939564,1,143.5,145.39,144.5,143.5,1.5,143.0,145.0,146.427889638303,145.78,0.5170982144352251,0.4829017855647749,-0.006711309374298757,-0.040907738244748915,0,1,0,0
Army Knights vs. Manhattan Jaspers,Nov 29 01:00PM ET,Manhattan Jaspers,3,-1.5,-2.2,-2.0,0.5160342270972185,-1.5,-0.014482204827664158,2.6,-4.0,-4.0,1.1,-0.4,0.5897916390676028,-135,0.5495832781352057,0.015516276748762214,0.102,0.64,0.63,0.459339859584394,1,158.5,158.0,158.5,158.5,2.8,160.0,156.0,161.125150623176,155.45999999999998,0.5,0.5,-0.023809523809523836,-0.027186761229314405,0,0,0,0
Army Knights vs. Manhattan Jaspers,Nov 29 01:00PM ET,Army Knights,3,1.5,2.2,2.0,0.4839657729027816,1.5,-0.028229349048437935,2.6,4.0,4.0,-1.1,0.4,0.4102083609323972,112,0.45041672186479437,-0.06044501669772462,0.102,0.36,0.37,0.540660140415606,1,158.5,158.0,158.5,158.5,2.8,160.0,156.0,161.125150623176,155.45999999999998,0.5,0.5,-0.023809523809523836,-0.027186761229314405,0,0,0,0
UMBC Retrievers vs. Delaware St Hornets,Nov 29 02:00PM ET,UMBC Retrievers,3,-11.5,-9.85,-11.0,0.4839657729027816,-11.5,-0.028229349048437935,1.2,-9.5,-9.0,-11.8,-10.2,0.822098445595855,-700,0.8341968911917099,-0.05290155440414501,0.033,0.81,0.79,0.853925853177954,3,146.5,147.0719796851725,146.5,146.5,1.4,149.0,147.0,147.143959370345,145.55,0.5,0.5,-0.023809523809523836,-0.023809523809523836,0,0,0,0
IUPUI Jaguars vs. Morehead St Eagles,Nov 29 02:00PM ET,Morehead St Eagles,3,2.0,-0.95,1.0,0.5320425632110974,2.0,0.008233039401573605,0.8,0.7,-1.0,-0.9,-1.0,0.4742158758309878,112,0.44843175166197563,0.00356249820086596,0.026,0.48,0.5,0.531078935167897,1,182.0,170.821642924066,177.5,182.0,7.1,179.0,169.0,172.643285848132,162.07,0.4151158163438069,0.5680973180314757,-0.10869370746571694,0.04428779422195184,1,1,0,1
IUPUI Jaguars vs. Morehead St Eagles,Nov 29 02:00PM ET,IUPUI Jaguars,3,-2.0,0.95,-1.0,0.4679574367889025,-2.0,-0.05585208702062133,0.8,-0.7,1.0,0.9,1.0,0.5257841241690122,-137,0.5515682483380243,-0.05311658505084593,0.026,0.52,0.5,0.468921064832103,1,182.0,170.821642924066,177.5,182.0,7.1,179.0,169.0,172.643285848132,162.07,0.4151158163438069,0.5680973180314757,-0.10869370746571694,0.04428779422195184,1,1,0,1
Harvard Crimson vs. Bryant Bulldogs,Nov 29 02:00PM ET,Harvard Crimson,2,-8.5,-9.6,-9.0,0.5168516246190507,-8.5,-0.006957899190473182,1.6,-7.6,-10.0,-11.4,-9.2,0.7803703703703704,-350,0.7407407407407407,0.002592592592592591,0.037,0.78,0.82,0.854084645084345,2,140.5,140.5777410459085,140.5,140.5,4.6,137.0,142.0,139.155482091817,147.69,0.5,0.5,-0.023809523809523836,-0.023809523809523836,0,1,0,0
Harvard Crimson vs. Bryant Bulldogs,Nov 29 02:00PM ET,Bryant Bulldogs,2,8.5,9.6,9.0,0.4831483753809493,8.5,-0.040661148428574545,1.6,7.6,10.0,11.4,9.2,0.21962962962962965,267,0.2592592592592593,-0.05259259259259261,0.037,0.2199999999999999,0.18,0.145915354915655,2,140.5,140.5777410459085,140.5,140.5,4.6,137.0,142.0,139.155482091817,147.69,0.5,0.5,-0.023809523809523836,-0.023809523809523836,0,1,0,0
Northwestern St Demons vs. Southern Jaguars,Nov 29 02:00PM ET,Northwestern St Demons,3,2.0,0.3,1.5,0.5160342270972185,2.0,-0.0077752967123053685,2.1,0.5,4.0,0.1,-0.9,0.46520836093239715,112,0.45041672186479437,-0.0054450166977246806,0.092,0.48,0.3299999999999999,0.497815326009042,1,149.0,150.01723488770847,149.5,149.0,1.3,149.0,152.0,149.944469775417,150.08999999999995,0.5000019640908513,0.4828998214739237,-0.023807559718672544,-0.03633094775684559,0,0,0,0
High Point Panthers vs. Western Carolina Catamounts,Nov 29 02:00PM ET,Western Carolina Catamounts,3,18.5,18.9,18.5,0.5,18.5,-0.023809523809523836,3.1,21.4,14.0,18.3,19.5,0.0672410753635963,1192,0.0744821507271926,-0.01013987701735608,0.031,0.06,0.1099999999999999,0.0525998215880125,3,158.5,159.5488051092605,159.0,158.5,2.0,161.0,160.0,159.097610218521,156.34,0.5075229437220032,0.4924770562779967,-0.016286580087520597,-0.03133246753152713,0,0,0,0
High Point Panthers vs. Western Carolina Catamounts,Nov 29 02:00PM ET,High Point Panthers,3,-18.5,-18.9,-18.5,0.5,-18.5,-0.022673031026252954,3.1,-21.4,-14.0,-18.3,-19.5,0.9327589246364036,-2500,0.9255178492728073,-0.028779536902057923,0.031,0.94,0.89,0.947400178411988,3,158.5,159.5488051092605,159.0,158.5,2.0,161.0,160.0,159.097610218521,156.34,0.5075229437220032,0.4924770562779967,-0.016286580087520597,-0.03133246753152713,0,0,0,0
UMBC Retrievers vs. Delaware St Hornets,Nov 29 02:00PM ET,Delaware St Hornets,3,11.5,9.85,11.0,0.5160342270972185,11.5,-0.01884949383301404,1.2,9.5,9.0,11.8,10.2,0.177901554404145,475,0.16580310880829016,0.003988510925884148,0.033,0.1899999999999999,0.2099999999999999,0.146074146822046,3,146.5,147.0719796851725,146.5,146.5,1.4,149.0,147.0,147.143959370345,145.55,0.5,0.5,-0.023809523809523836,-0.023809523809523836,0,0,0,0
Northwestern St Demons vs. Southern Jaguars,Nov 29 02:00PM ET,Southern Jaguars,3,-2.0,-0.3,-1.5,0.4839657729027816,-2.0,-0.03984375090674225,2.1,-0.5,-4.0,-0.1,0.9,0.5347916390676029,-135,0.5495832781352057,-0.03948372325123772,0.092,0.52,0.67,0.502184673990958,1,149.0,150.01723488770847,149.5,149.0,1.3,149.0,152.0,149.944469775417,150.08999999999995,0.5000019640908513,0.4828998214739237,-0.023807559718672544,-0.03633094775684559,0,0,0,0
Nebraska Cornhuskers vs. South Carolina Upstate Spartans,Nov 29 02:00PM ET,South Carolina Upstate Spartans,3,25.5,26.05,25.5,0.5,25.5,-0.014563106796116498,3.1,29.7,25.0,22.4,27.1,0.022772394396882535,3734,0.025544788793765066,-0.003311616443225862,0.008,0.02,0.01,0.0248616414626132,3,157.5,160.013180640595,158.5,157.5,1.8,161.0,161.0,159.02636128119,157.21,0.5150432125615789,0.4849567874384211,-0.008766311247944913,-0.03885273637110276,0,1,0,0
Georgia Bulldogs vs. Tennessee Tech Golden Eagles,Nov 29 02:00PM ET,Tennessee Tech Golden Eagles,3,33.5,29.4,32.0,0.547999242711806,33.5,0.024189718902282165,3.9,30.8,28.0,33.4,24.2,,,0.0,0.0,0.009,0.02,0.01,0.0023156840792654,3,158.5,159.170513619839,159.0,158.5,3.7,161.0,158.0,160.341027239678,152.74,0.5075229437220032,0.4924770562779967,-0.016286580087520597,-0.03133246753152713,1,1,0,0
Georgia Bulldogs vs. Tennessee Tech Golden Eagles,Nov 29 02:00PM ET,Georgia Bulldogs,3,-33.5,-29.4,-32.0,0.452000757288194,-33.5,-0.07180876652132984,3.9,-30.8,-28.0,-33.4,-24.2,,,0.0,0.0,0.009,0.98,0.99,0.997684315920735,3,158.5,159.170513619839,159.0,158.5,3.7,161.0,158.0,160.341027239678,152.74,0.5075229437220032,0.4924770562779967,-0.016286580087520597,-0.03133246753152713,1,1,0,0
Saint Peter's Peacocks vs. Dartmouth Big Green,Nov 29 02:00PM ET,Saint Peter's Peacocks,2,-1.0,-2.3,-1.5,0.5168516246190507,-1.0,0.0046565026678311305,1.0,-1.5,-2.0,-3.9,-2.6,0.5394651262302097,-110,0.49893025246041933,0.015655602420685866,0.039,0.56,0.58,0.635860519424365,1,143.5,148.31197914608398,145.5,143.5,1.8,146.0,150.0,147.353958292168,149.26999999999998,0.5341650358808562,0.4658349641191438,0.01035551207133234,-0.05797455969038001,1,1,1,0
George Mason Patriots vs. James Madison Dukes,Nov 29 02:00PM ET,James Madison Dukes,2,12.0,11.6,12.0,0.5,11.75,-0.023809523809523836,0.9,11.2,12.0,10.6,12.6,0.14721692328655128,562,0.1444338465731026,-0.003780227710599715,0.015,0.15,0.13,0.158227355191393,3,143.0,145.5663452566935,144.0,143.0,1.4,143.0,146.0,145.302690513387,145.82999999999998,0.5075256171779651,0.4774391920548073,-0.016283906631558764,-0.046370331754716554,0,0,0,0
George Mason Patriots vs. James Madison Dukes,Nov 29 02:00PM ET,George Mason Patriots,2,-12.0,-11.6,-12.0,0.5,-11.75,-0.023809523809523836,0.9,-11.2,-12.0,-10.6,-12.6,0.8527830767134487,-847,0.8555661534268973,-0.04166136773099571,0.015,0.85,0.87,0.841772644808607,3,143.0,145.5663452566935,144.0,143.0,1.4,143.0,146.0,145.302690513387,145.82999999999998,0.5075256171779651,0.4774391920548073,-0.016283906631558764,-0.046370331754716554,0,0,0,0
Saint Peter's Peacocks vs. Dartmouth Big Green,Nov 29 02:00PM ET,Dartmouth Big Green,2,1.0,2.3,1.5,0.4831483753809493,1.0,-0.042917975329951175,1.0,1.5,2.0,3.9,2.6,0.4605348737697903,-111,0.5010697475395807,-0.06552083153119803,0.039,0.4399999999999999,0.42,0.364139480575635,1,143.5,148.31197914608398,145.5,143.5,1.8,146.0,150.0,147.353958292168,149.26999999999998,0.5341650358808562,0.4658349641191438,0.01035551207133234,-0.05797455969038001,1,1,1,0
Nebraska Cornhuskers vs. South Carolina Upstate Spartans,Nov 29 02:00PM ET,Nebraska Cornhuskers,3,-25.5,-26.05,-25.5,0.5,-25.5,-0.03488372093023251,3.1,-29.7,-25.0,-22.4,-27.1,0.9772276056031175,-20000,0.9744552112062349,-0.01779727001877307,0.008,0.98,0.99,0.975138358537387,3,157.5,160.013180640595,158.5,157.5,1.8,161.0,161.0,159.02636128119,157.21,0.5150432125615789,0.4849567874384211,-0.008766311247944913,-0.03885273637110276,0,1,0,0
SE Missouri St Redhawks vs. Lipscomb Bisons,Nov 29 03:00PM ET,Lipscomb Bisons,3,-1.0,2.8,0.5,0.452000757288194,-1.25,-0.0553884052733824,1.3,4.7,3.0,2.6,1.7,0.45368206285813506,-118,0.5173641257162701,-0.08760234081158969,0.041,0.3299999999999999,0.39,0.407267518532671,1,149.5,151.53338222378449,150.5,149.5,1.8,151.0,153.0,152.066764447569,148.8,0.5170982144352251,0.4829017855647749,-0.006711309374298757,-0.038629314913693924,1,1,0,0
Valparaiso Beacons vs. Western Michigan Broncos,Nov 29 03:00PM ET,Western Michigan Broncos,3,5.5,2.6500000000000004,4.5,0.5320425632110974,5.5,0.019847441259877918,1.7,2.7,5.0,2.6,0.8,0.35265765765765766,200,0.3153153153153153,0.01932432432432435,0.041,0.39,0.3299999999999999,0.408263840977484,2,146.5,145.338624432368,146.0,146.5,3.2,145.0,151.0,145.677248864736,143.87,0.49222081404751,0.5077791859524899,-0.031588709762013834,-0.016030337857033894,1,1,0,0
Valparaiso Beacons vs. Western Michigan Broncos,Nov 29 03:00PM ET,Valparaiso Beacons,3,-5.5,-2.6500000000000004,-4.5,0.4679574367889025,-5.5,-0.06692628414133,1.7,-2.7,-5.0,-2.6,-0.8,0.6473423423423423,-262,0.6846846846846847,-0.07646718146718146,0.041,0.61,0.67,0.591736159022516,2,146.5,145.338624432368,146.0,146.5,3.2,145.0,151.0,145.677248864736,143.87,0.49222081404751,0.5077791859524899,-0.031588709762013834,-0.016030337857033894,1,1,0,0
SE Missouri St Redhawks vs. Lipscomb Bisons,Nov 29 03:00PM ET,SE Missouri St Redhawks,3,1.0,-2.8,-0.5,0.547999242711806,1.25,0.013115521781573491,1.3,-4.7,-3.0,-2.6,-1.7,0.5463179371418649,-102,0.4826358742837298,0.041367442092359985,0.041,0.67,0.61,0.592732481467329,1,149.5,151.53338222378449,150.5,149.5,1.8,151.0,153.0,152.066764447569,148.8,0.5170982144352251,0.4829017855647749,-0.006711309374298757,-0.038629314913693924,1,1,0,0
UT-Arlington Mavericks vs. Stephen F. Austin Lumberjacks,Nov 29 03:00PM ET,Stephen F. Austin Lumberjacks,2,1.5,0.8,1.0,0.5168516246190507,1.5,-0.006957899190473182,0.5,1.1,1.0,-0.1,0.6,0.4834365486260548,-117,0.5168730972521097,-0.05673258456633423,0.034,0.4499999999999999,0.4399999999999999,0.503573888903168,1,142.75,142.8077288804125,143.0,142.75,3.6,139.0,147.0,141.035457760825,144.57999999999998,0.4914489286915362,0.4914489286915362,-0.037962836014346135,-0.026623360465090284,1,1,0,0
UT-Arlington Mavericks vs. Stephen F. Austin Lumberjacks,Nov 29 03:00PM ET,UT-Arlington Mavericks,2,-1.5,-0.8,-1.0,0.4831483753809493,-1.5,-0.040661148428574545,0.5,-1.1,-1.0,0.1,-0.6,0.5165634513739451,-102,0.4831269027478902,0.011661490589631396,0.034,0.55,0.56,0.496426111096832,1,142.75,142.8077288804125,143.0,142.75,3.6,139.0,147.0,141.035457760825,144.57999999999998,0.4914489286915362,0.4914489286915362,-0.037962836014346135,-0.026623360465090284,1,1,0,0
