Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Yale Bulldogs vs. Albany Great Danes,Dec 10 04:30PM ET,Albany Great Danes,3,17.5,17.299999999999997,17.5,0.5,17.5,-0.023809523809523836,2.0,17.2,17.0,21.1,17.4,0.06703703703703703,1280,0.07407407407407407,-0.009886039886039893,0.021,0.06,0.06,0.0244584147674586,3,149.5,149.92000000000002,149.5,149.5,149.5,1.4,149.0,151.0,148.247913324825,150.84,0.5,0.5,-0.028301886792452824,-0.019230769230769273,0,1,0,0
Yale Bulldogs vs. Albany Great Danes,Dec 10 04:30PM ET,Yale Bulldogs,3,-17.5,-17.299999999999997,-17.5,0.5,-17.5,-0.023809523809523836,2.0,-17.2,-17.0,-21.1,-17.4,0.9329629629629629,-3500,0.9259259259259258,-0.02857549857549868,0.021,0.94,0.94,0.975541585232541,3,149.5,149.92000000000002,149.5,149.5,149.5,1.4,149.0,151.0,148.247913324825,150.84,0.5,0.5,-0.028301886792452824,-0.019230769230769273,0,1,0,0
Princeton Tigers vs. Merrimack Warriors,Dec 10 05:00PM ET,Merrimack Warriors,1,3.5,3.95,3.5,0.5,2.5,-0.023809523809523836,1.2,4.7,3.0,5.6,3.2,0.35312151452891105,128,0.3962430290578221,-0.06010162596695673,0.051,0.31,0.39,0.295231474518851,2,137.5,134.625,136.5,134.0,137.5,1.0,133.0,135.0,135.108153969602,134.25,0.4844445857059503,0.5155554142940497,-0.039364938103573555,-0.008254109515474117,0,1,0,1
Princeton Tigers vs. Merrimack Warriors,Dec 10 05:00PM ET,Princeton Tigers,1,-3.5,-3.95,-3.5,0.5,-2.5,-0.023809523809523836,1.2,-4.7,-3.0,-5.6,-3.2,0.646878485471089,-154,0.6037569709421778,0.0172488558414593,0.051,0.69,0.61,0.704768525481149,2,137.5,134.625,136.5,134.0,137.5,1.0,133.0,135.0,135.108153969602,134.25,0.4844445857059503,0.5155554142940497,-0.039364938103573555,-0.008254109515474117,0,1,0,1
UNC Asheville Bulldogs vs. Miami (OH) RedHawks,Dec 10 06:00PM ET,Miami (OH) RedHawks,3,-4.5,-2.85,-4.0,0.4839657729027816,-3.5,-0.03756532757568726,1.0,-1.8,-4.0,-2.2,-3.5,0.6032926607316462,-192,0.6255648805681084,-0.0518797530614572,0.032,0.57,0.63,0.581020440895184,2,152.5,153.40214961443002,153.0,152.5,152.5,0.9,152.0,154.0,153.19429922886,153.61,0.50777918595249,0.49222081404751,-0.016030337857033783,-0.031588709762013834,1,0,0,0
UNC Asheville Bulldogs vs. Miami (OH) RedHawks,Dec 10 06:00PM ET,UNC Asheville Bulldogs,3,4.5,2.85,4.0,0.5160342270972185,3.5,-0.010032123613681998,1.0,1.8,4.0,2.2,3.5,0.3967073392683538,158,0.37443511943189156,0.004550476523255742,0.032,0.43,0.37,0.418979559104816,2,152.5,153.40214961443002,153.0,152.5,152.5,0.9,152.0,154.0,153.19429922886,153.61,0.50777918595249,0.49222081404751,-0.016030337857033783,-0.031588709762013834,1,0,0,0
Massachusetts Minutemen vs. Boston College Eagles,Dec 10 07:00PM ET,Boston College Eagles,2,-2.5,-2.05,-2.5,0.5,-3.0,-0.023809523809523836,0.3,-1.9,-2.0,-2.1,-2.6,0.5718586077692288,-132,0.5656028368794326,-0.01997812692464873,0.017,0.58,0.55,0.578114378659025,1,141.5,138.5,140.5,139.0,141.5,2.5,139.0,138.0,141.704711665783,135.71,0.4829017855647749,0.5170982144352251,-0.040907738244748915,-0.006711309374298757,0,0,0,0
Massachusetts Minutemen vs. Boston College Eagles,Dec 10 07:00PM ET,Massachusetts Minutemen,2,2.5,2.05,2.5,0.5,3.0,-0.023809523809523836,0.3,1.9,2.0,2.1,2.6,0.4281413922307712,111,0.43439716312056736,-0.02640406231468334,0.017,0.42,0.45,0.421885621340975,1,141.5,138.5,140.5,139.0,141.5,2.5,139.0,138.0,141.704711665783,135.71,0.4829017855647749,0.5170982144352251,-0.040907738244748915,-0.006711309374298757,0,0,0,0
St. Bonaventure Bonnies vs. Colgate Raiders,Dec 10 07:00PM ET,Colgate Raiders,2,11.5,8.4,10.5,0.5336731946043589,11.5,0.009863670794835078,0.8,8.8,8.0,7.5,9.3,0.1787704918032787,570,0.1475409836065574,0.024924337957124842,0.02,0.1999999999999999,0.21,0.238562121052502,3,141.5,141.5,141.5,139.5,141.5,2.1,141.0,142.0,140.776367236863,145.36,0.5,0.5,-0.023809523809523836,-0.023809523809523836,1,1,0,0
St. Bonaventure Bonnies vs. Colgate Raiders,Dec 10 07:00PM ET,St. Bonaventure Bonnies,2,-11.5,-8.4,-10.5,0.4663268053956411,-11.5,-0.05748271841388275,0.8,-8.8,-8.0,-7.5,-9.3,0.8212295081967214,-850,0.8524590163934427,-0.06765938069216748,0.02,0.8,0.79,0.761437878947498,3,141.5,141.5,141.5,139.5,141.5,2.1,141.0,142.0,140.776367236863,145.36,0.5,0.5,-0.023809523809523836,-0.023809523809523836,1,1,0,0
