Game,Game Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
UMBC Retrievers vs. Army Knights,Dec 12 06:00PM ET,UMBC Retrievers,3,-5.5,-7.45,-6.5,0.5320425632110974,-6.25,0.008233039401573605,-0.0077752967123053,1.0,-9.0,-7.0,-6.8,-7.9,0.7354975302510829,-320,0.7109950605021659,-0.01068720870474038,-0.0182390428461241,0.037,0.81,0.76,0.737721225175469,2,146.5,146.0,146.5,147.25,146.5,2.7,145.0,147.0,148.895489223363,142.5,0.5,0.5,-0.023809523809523836,-0.023809523809523836,-0.0315887097620138,-0.0293102864309588,1,1,0,0
UMBC Retrievers vs. Army Knights,Dec 12 06:00PM ET,Army Knights,3,5.5,7.45,6.5,0.4679574367889025,6.25,-0.05585208702062133,-0.0398437509067422,1.0,9.0,7.0,6.8,7.9,0.2645024697489171,250,0.2890049394978342,-0.038806353780494685,-0.0293462563337889,0.037,0.1899999999999999,0.24,0.262278774824531,2,146.5,146.0,146.5,147.25,146.5,2.7,145.0,147.0,148.895489223363,142.5,0.5,0.5,-0.023809523809523836,-0.023809523809523836,-0.0315887097620138,-0.0293102864309588,1,1,0,0
Xavier Musketeers vs. Missouri St Bears,Dec 12 07:00PM ET,Xavier Musketeers,3,-18.5,-15.5,-17.5,0.4679574367889025,-16.25,-0.05585208702062133,-0.0305164319248826,0.8,-15.9,-16.0,-14.4,-15.1,0.9208301346482772,-2728,0.9312638580931264,-0.046911800835593764,-0.0440939929498991,0.01,0.9,0.92,0.910396411203428,3,148.5,145.9240287003295,147.5,146.5,148.5,0.1,146.0,146.0,145.848057400659,145.73,0.4849567874384211,0.5150432125615789,-0.03885273637110276,-0.008766311247944913,-0.0313324675315271,-0.0140081567564656,1,1,0,1
Xavier Musketeers vs. Missouri St Bears,Dec 12 07:00PM ET,Missouri St Bears,3,18.5,15.5,17.5,0.5320425632110974,16.25,0.008233039401573605,-0.0121951219512195,0.8,15.9,16.0,14.4,15.1,0.07916986535172264,1248,0.06873614190687359,0.007741293923151232,0.0052779702629084,0.01,0.0999999999999999,0.08,0.0896035887965717,3,148.5,145.9240287003295,147.5,146.5,148.5,0.1,146.0,146.0,145.848057400659,145.73,0.4849567874384211,0.5150432125615789,-0.03885273637110276,-0.008766311247944913,-0.0313324675315271,-0.0140081567564656,1,1,0,1
North Carolina A&T Aggies vs. Maryland-Eastern Shore Hawks,Dec 12 07:00PM ET,North Carolina A&T Aggies,1,-7.0,-4.75,-6.0,0.4652972649083076,-7.25,-0.05851225890121625,-0.0585122589012162,1.9,-4.5,-5.0,-8.3,-4.1,0.7153775282770736,-380,0.7307550565541473,-0.054615862337599186,-0.0616466631059036,0.052,0.69,0.7,0.784709660883445,2,130.5,130.0,130.5,132.0,130.5,1.9,129.0,131.0,132.4897761559,128.20999999999998,0.5,0.5,-0.023809523809523836,-0.023809523809523836,-0.0471382105206944,-0.016027381932595,0,0,0,0
North Carolina A&T Aggies vs. Maryland-Eastern Shore Hawks,Dec 12 07:00PM ET,Maryland-Eastern Shore Hawks,1,7.0,4.75,6.0,0.5347027350916924,7.25,0.01089321128216858,0.0108932112821685,1.9,4.5,5.0,8.3,4.1,0.2846224717229263,300,0.26924494344585265,0.0009202584432482785,0.0200026045057949,0.052,0.31,0.3,0.215290339116555,2,130.5,130.0,130.5,132.0,130.5,1.9,129.0,131.0,132.4897761559,128.20999999999998,0.5,0.5,-0.023809523809523836,-0.023809523809523836,-0.0471382105206944,-0.016027381932595,0,0,0,0
UConn Huskies vs. Texas Longhorns,Dec 12 08:00PM ET,UConn Huskies,2,-15.5,-13.45,-14.5,0.4663268053956411,-13.0,-0.05748271841388275,-0.0271867612293144,1.9,-12.3,-13.0,-13.9,-16.7,0.8969774011299434,-1200,0.9039548022598869,-0.044199069458291884,-0.0364252175113934,0.019,0.87,0.89,0.907655984115232,3,145.5,148.2646084250805,146.5,147.5,145.5,1.9,148.0,149.0,148.529216850161,144.8,0.5150432125615789,0.4849567874384211,0.0028480906103593995,-0.04884274636111274,-0.0273607772082292,-0.0255952328786298,0,0,0,0
UConn Huskies vs. Texas Longhorns,Dec 12 08:00PM ET,Texas Longhorns,2,15.5,13.45,14.5,0.5336731946043589,13.0,0.009863670794835078,-0.0271867612293144,1.9,12.3,13.0,13.9,16.7,0.10302259887005649,720,0.096045197740113,0.0030225988700564865,-0.0086029250777247,0.019,0.13,0.11,0.0923440158847679,3,145.5,148.2646084250805,146.5,147.5,145.5,1.9,148.0,149.0,148.529216850161,144.8,0.5150432125615789,0.4849567874384211,0.0028480906103593995,-0.04884274636111274,-0.0273607772082292,-0.0255952328786298,0,0,0,0
Austin Peay Governors vs. East Tennessee St Buccaneers,Dec 12 08:00PM ET,Austin Peay Governors,2,3.5,1.45,2.5,0.5336731946043589,3.75,0.009863670794835078,0.009863670794835,1.9,-1.4,3.0,1.0,1.9,0.441803363049705,143,0.42236024844720504,-0.0026410813947393974,0.0166067282861179,0.09,0.56,0.38,0.461246477652205,2,143.5,141.5,142.5,143.25,143.5,2.0,142.0,141.0,142.429453613237,138.01999999999998,0.4844445857059503,0.5155554142940497,-0.039364938103573555,-0.008254109515474117,-0.0393664169090386,-0.0238080450040587,1,0,0,1
Austin Peay Governors vs. East Tennessee St Buccaneers,Dec 12 08:00PM ET,East Tennessee St Buccaneers,2,-3.5,-1.45,-2.5,0.4663268053956411,-3.75,-0.05748271841388275,-0.0529039638351281,1.9,1.4,-3.0,-1.0,-1.9,0.5581966369502951,-174,0.5776397515527951,-0.04964650030460682,-0.0631507938466777,0.09,0.4399999999999999,0.62,0.538753522347795,2,143.5,141.5,142.5,143.25,143.5,2.0,142.0,141.0,142.429453613237,138.01999999999998,0.4844445857059503,0.5155554142940497,-0.039364938103573555,-0.008254109515474117,-0.0393664169090386,-0.0238080450040587,1,0,0,1
