Game,Game Time,Opening Odds Time,Team,total_category,market_spread,model_spread,Predicted Outcome,Spread Cover Probability,Opening Spread,Edge For Covering Spread,Opening Spread Edge,Spread Std. Dev.,spread_barttorvik,spread_kenpom,spread_evanmiya,spread_hasla,Moneyline Win Probability,Opening Moneyline,Current Moneyline,Devigged Probability,Moneyline Edge,Opening Moneyline Edge,Moneyline Std. Dev.,win_prob_barttorvik,win_prob_kenpom,win_prob_evanmiya,spread_category,market_total,model_total,average_total,Opening Total,theoddsapi_total,Totals Std. Dev.,projected_total_barttorvik,projected_total_kenpom,projected_total_evanmiya,projected_total_hasla,Over Cover Probability,Under Cover Probability,Over Total Edge,Under Total Edge,Opening Over Edge,Opening Under Edge,spread_consensus_flag,moneyline_consensus_flag,over_consensus_flag,under_consensus_flag
Portland Pilots vs. Pacific Tigers,Jan 08 10:03PM ET,2026-01-09 05:13:11 UTC,Pacific Tigers,,-2.5,-3.3,-3.0,,-2.5,,,1.1,,-5.0,-3.3,-3.0,0.6265325564069171,-190,-190,0.6161482461945731,-0.02863985738618635,-0.02863985738618635,0.019,,0.65,0.623833733238522,1,,145.0,58.0,,,0.4,,145.0,145.391619619635,144.64,,,,,,,0,0,0,0
Portland Pilots vs. Pacific Tigers,Jan 08 10:03PM ET,2026-01-09 05:13:11 UTC,Portland Pilots,,2.5,3.3,3.0,,2.5,,,1.1,,5.0,3.3,3.0,0.3734674435930829,145,145,0.3838517538054269,-0.03469582171303953,-0.03469582171303953,0.019,,0.35,0.376166266761478,1,,145.0,58.0,,,0.4,,145.0,145.391619619635,144.64,,,,,,,0,0,0,0
CSU Northridge Matadors vs. Cal Poly Mustangs,Jan 08 10:04PM ET,2026-01-09 05:13:11 UTC,Cal Poly Mustangs,3,6.5,5.2,6.0,0.5160342270972185,6.5,0.13141884248183383,0.13141884248183383,1.5,,4.0,6.9,5.2,0.16238466284591116,4000,4000,0.023856006856816343,0.13799441894347214,0.13799441894347214,0.041,,0.33,0.271826637670012,2,184.5,170.28,179.0,184.5,184.5,1.7,,170.0,173.153236917483,170.28,0.4150753098134174,0.5849246901865826,-0.18492469018658259,0.11980841111681512,-0.18492469018658259,0.11980841111681512,0,0,0,0
Oregon St Beavers vs. Seattle Redhawks,Jan 08 10:04PM ET,2026-01-09 05:13:11 UTC,Oregon St Beavers,1,-12.5,4.0,-6.0,0.2856528685750481,-12.5,-0.2618584436421465,-0.2618584436421465,1.4,,4.0,1.8,4.3,0.6860067366232213,-100000,-100000,0.9729466771168347,-0.3129942623777777,-0.3129942623777777,0.041,,0.37,0.428133592259216,3,123.5,140.0,130.0,123.5,123.5,1.5,,140.0,138.478384322952,141.38,0.5968331208316484,0.4031668791683515,0.08463799888042889,-0.1523886763872041,0.08463799888042889,-0.1523886763872041,0,0,0,0
Oregon St Beavers vs. Seattle Redhawks,Jan 08 10:04PM ET,2026-01-09 05:13:11 UTC,Seattle Redhawks,1,12.5,-4.0,6.0,0.7143471314249519,12.5,0.16683581920775725,0.16683581920775725,1.4,,-4.0,-1.8,-4.3,0.3139932633767787,3500,3500,0.027053322883165313,0.2862154855990009,0.2862154855990009,0.041,,0.63,0.571866407740784,3,123.5,140.0,130.0,123.5,123.5,1.5,,140.0,138.478384322952,141.38,0.5968331208316484,0.4031668791683515,0.08463799888042889,-0.1523886763872041,0.08463799888042889,-0.1523886763872041,0,0,0,0
CSU Northridge Matadors vs. Cal Poly Mustangs,Jan 08 10:04PM ET,2026-01-09 05:13:11 UTC,CSU Northridge Matadors,3,-6.5,-5.2,-6.0,0.4839657729027816,-6.5,-0.03984375090674225,-0.03984375090674225,1.5,,-4.0,-6.9,-5.2,0.8376153371540889,-50000,-50000,0.9761439931431837,-0.16038865486187914,-0.16038865486187914,0.041,,0.67,0.728173362329988,2,184.5,170.28,179.0,184.5,184.5,1.7,,170.0,173.153236917483,170.28,0.4150753098134174,0.5849246901865826,-0.18492469018658259,0.11980841111681512,-0.18492469018658259,0.11980841111681512,0,0,0,0
Oregon Ducks vs. Ohio State Buckeyes,Jan 08 10:40PM ET,2026-01-09 05:13:11 UTC,Oregon Ducks,2,12.5,1.8,8.0,0.6481311927118212,12.5,0.0925756371562656,0.0925756371562656,0.4,,2.0,1.2,1.8,0.2587210254680977,1500,1500,0.059929494712103404,0.19622102546809772,0.19622102546809772,0.004,,0.46,0.455025112448184,3,144.5,153.48000000000002,148.0,144.5,144.5,1.3,,154.0,151.511564476894,153.48000000000002,0.5525111714996587,0.4474888285003413,0.007056626045113257,-0.07632069530918256,0.007056626045113257,-0.07632069530918256,0,0,0,0
Oregon Ducks vs. Ohio State Buckeyes,Jan 08 10:40PM ET,2026-01-09 05:13:11 UTC,Ohio State Buckeyes,2,-12.5,-1.8,-8.0,0.3518688072881788,-12.5,-0.17194071652134502,-0.17194071652134502,0.4,,-2.0,-1.2,-1.8,0.7412789745319022,-5000,-5000,0.9400705052878965,-0.2391131823308429,-0.2391131823308429,0.004,,0.54,0.544974887551816,3,144.5,153.48000000000002,148.0,144.5,144.5,1.3,,154.0,151.511564476894,153.48000000000002,0.5525111714996587,0.4474888285003413,0.007056626045113257,-0.07632069530918256,0.007056626045113257,-0.07632069530918256,0,0,0,0
Loyola Marymount Lions vs. San Francisco Dons,Jan 08 11:15PM ET,2026-01-09 05:13:11 UTC,Loyola Marymount Lions,1,-2.5,-1.0,-2.0,0.4826321819260377,-2.5,-0.052251539004194825,-0.052251539004194825,1.1,,-1.0,0.4,-1.8,0.5423678847203548,-161,-161,0.5817642178781826,-0.07448472831546438,-0.07448472831546438,0.024,,0.52,0.485943103125054,1,131.5,137.04000000000002,133.5,131.5,131.5,0.4,,137.0,137.784821915647,137.04000000000002,0.5341650358808562,0.4658349641191438,-0.000718685049376333,-0.06904875681108869,-0.000718685049376333,-0.06904875681108869,0,0,0,0
Loyola Marymount Lions vs. San Francisco Dons,Jan 08 11:15PM ET,2026-01-09 05:13:11 UTC,San Francisco Dons,1,2.5,1.0,2.0,0.5173678180739623,2.5,-0.01751590285627025,-0.01751590285627025,1.1,,1.0,-0.4,1.8,0.4576321152796452,125,125,0.41823578212181745,0.014170955004325636,0.014170955004325636,0.024,,0.48,0.514056896874946,1,131.5,137.04000000000002,133.5,131.5,131.5,0.4,,137.0,137.784821915647,137.04000000000002,0.5341650358808562,0.4658349641191438,-0.000718685049376333,-0.06904875681108869,-0.000718685049376333,-0.06904875681108869,0,0,0,0
Gonzaga Bulldogs vs. Santa Clara Broncos,Jan 08 11:32PM ET,2026-01-09 05:13:11 UTC,Gonzaga Bulldogs,3,-9.5,-15.0,-11.5,0.5638787496655561,-9.5,0.025772514099736243,0.025772514099736243,1.6,,-15.0,-16.6,-13.4,0.8692957708986987,-612,-612,0.8120093251262394,0.00968985956864954,0.00968985956864954,0.009,,0.92,0.933164433342316,2,162.5,161.732532455034,162.0,162.5,162.5,2.8,,163.0,161.732532455034,157.68,0.49222081404751,0.5077791859524899,-0.04266290688272251,-0.020522700839962882,-0.04266290688272251,-0.020522700839962882,0,0,0,0
