bet_type,edge_tier,wins,losses,total,win_rate,profit_units
Spread,0-1.9%,361,362,723,0.49930843706777317,-33.85
Spread,2-3.9%,86,132,218,0.3944954128440367,-53.83
Spread,4-5.9%,29,31,60,0.48333333333333334,-4.64
Spread,6%+,5,10,15,0.3333333333333333,-5.46
Moneyline,0-1.9%,283,392,675,0.4192592592592593,-134.75
Moneyline,2-3.9%,65,85,150,0.43333333333333335,-25.92
Moneyline,4-5.9%,18,28,46,0.391304347826087,-11.64
Moneyline,6%+,5,8,13,0.38461538461538464,-3.46
Over,0-1.9%,120,134,254,0.47244094488188976,-24.92
Over,2-3.9%,8,12,20,0.4,-4.73
Over,4-5.9%,0,0,0,,0.0
Over,6%+,4,0,4,1.0,3.64
Under,0-1.9%,252,238,490,0.5142857142857142,-8.93
Under,2-3.9%,26,14,40,0.65,9.63
Under,4-5.9%,0,0,0,,0.0
Under,6%+,2,0,2,1.0,1.82
