bet_type,consensus,edge_threshold,num_bets,wins,losses,win_rate,total_profit,total_wagered,roi
Over,Yes,0%,26,14.0,12.0,53.84615384615385,0.7999999999999989,28.6,2.7972027972027935
Over,Yes,1%,6,3.0,3.0,50.0,-0.30000000000000027,6.6000000000000005,-4.545454545454549
Over,Yes,2%,1,1.0,0.0,100.0,1.0,1.1,90.9090909090909
Over,Yes,3%,1,1.0,0.0,100.0,1.0,1.1,90.9090909090909
Over,No,0%,1,1.0,0.0,100.0,1.0,1.1,90.9090909090909
Over,No,1%,1,1.0,0.0,100.0,1.0,1.1,90.9090909090909
Under,Yes,0%,44,25.0,19.0,56.81818181818182,4.099999999999998,48.400000000000006,8.471074380165284
Under,Yes,1%,12,7.0,5.0,58.333333333333336,1.5,13.200000000000001,11.363636363636363
Under,Yes,2%,3,3.0,0.0,100.0,3.0,3.3000000000000003,90.9090909090909
Under,Yes,3%,1,1.0,0.0,100.0,1.0,1.1,90.9090909090909
Under,No,0%,8,5.0,3.0,62.5,1.6999999999999997,8.8,19.318181818181817
Under,No,1%,3,2.0,1.0,66.66666666666666,0.8999999999999999,3.3000000000000003,27.272727272727266
Under,No,2%,2,1.0,1.0,50.0,-0.10000000000000009,2.2,-4.545454545454549
Under,No,3%,1,1.0,0.0,100.0,1.0,1.1,90.9090909090909
Under,No,4%,1,1.0,0.0,100.0,1.0,1.1,90.9090909090909
