spread,result,cover_prob,push_prob,not_cover_prob
-60,-60,-0.043562807,0.043562807,0.956437193
-60,-59,-0.040906597,0.040906597,0.959093403
-60,-58,-0.038297339,0.038297339,0.961702661
-60,-57,-0.035737549,0.035737549,0.964262451
-60,-56,-0.033230169,0.033230169,0.966769831
-60,-55,-0.030778608,0.030778608,0.969221392
-60,-54,-0.028386783,0.028386783,0.971613217
-60,-53,-0.026059146,0.026059146,0.973940854
-60,-52,-0.023800702,0.023800702,0.976199298
-60,-51,-0.021617005,0.021617005,0.978382995
-60,-50,-0.019514126,0.019514126,0.980485874
-60,-49,-0.017498577,0.017498577,0.982501423
-60,-48,-0.015577202,0.015577202,0.984422798
-60,-47,-0.013756998,0.013756998,0.986243002
-60,-46,-0.012044886,0.012044886,0.987955114
-60,-45,-0.010447418,0.010447418,0.989552582
-60,-44,-0.008970434,0.008970434,0.991029566
-60,-43,-0.00761868,0.00761868,0.99238132
-60,-42,-0.00639542,0.00639542,0.99360458
-60,-41,-0.00530208,0.00530208,0.99469792
-60,-40,-0.004337961,0.004337961,0.995662039
-60,-39,-0.003500073,0.003500073,0.996499927
-60,-38,-0.002783118,0.002783118,0.997216882
-60,-37,-0.002179646,0.002179646,0.997820354
-60,-36,-0.001680371,0.001680371,0.998319629
-60,-35,-0.001274633,0.001274633,0.998725367
-60,-34,-0.000950938,9.51E-04,0.999049062
-60,-33,-0.000697529,6.98E-04,0.999302471
-60,-32,-0.000502918,5.03E-04,0.999497082
-60,-31,-0.00035634,3.56E-04,0.99964366
-60,-30,-0.00024808,2.48E-04,0.99975192
-60,-29,-0.00016968,1.70E-04,0.99983032
-60,-28,-0.00011401,1.14E-04,0.99988599
-60,-27,-7.53E-05,7.53E-05,0.999924748
-60,-26,-4.88E-05,4.88E-05,0.999951207
-60,-25,-3.11E-05,3.11E-05,0.99996892
-60,-24,-1.95E-05,1.95E-05,0.999980549
-60,-23,-1.20E-05,1.20E-05,0.999988039
-60,-22,-7.23E-06,7.23E-06,0.999992771
-60,-21,-4.30E-06,4.30E-06,0.999995704
-60,-20,-2.51E-06,2.51E-06,0.99999749
-60,-19,-1.44E-06,1.44E-06,0.999998558
-60,-18,-8.16E-07,8.16E-07,0.999999184
-60,-17,-4.54E-07,4.54E-07,0.999999546
-60,-16,-2.49E-07,2.49E-07,0.999999751
-60,-15,-1.34E-07,1.34E-07,0.999999866
-60,-14,-7.15E-08,7.15E-08,0.999999929
-60,-13,-3.75E-08,3.75E-08,0.999999963
-60,-12,-1.94E-08,1.94E-08,0.999999981
-60,-11,-9.87E-09,9.87E-09,0.99999999
-60,-10,-4.96E-09,4.96E-09,0.999999995
-60,-9,-2.46E-09,2.46E-09,0.999999998
-60,-8,-1.20E-09,1.20E-09,0.999999999
-60,-7,-5.81E-10,5.81E-10,0.999999999
-60,-6,-2.76E-10,2.76E-10,1
-60,-5,-1.30E-10,1.30E-10,1
-60,-4,-6.01E-11,6.01E-11,1
-60,-3,-2.74E-11,2.74E-11,1
-60,-2,-1.24E-11,1.24E-11,1
-60,-1,-5.50E-12,5.50E-12,1
-60,1,-1.04E-12,1.04E-12,1
-60,2,-4.44E-13,4.44E-13,1
-60,3,-1.87E-13,1.87E-13,1
-60,4,-7.76E-14,7.76E-14,1
-60,5,-3.17E-14,3.17E-14,1
-60,6,-1.28E-14,1.28E-14,1
-60,7,-5.11E-15,5.11E-15,1
-60,8,-2.01E-15,2.01E-15,1
-60,9,-7.77E-16,7.77E-16,1
-60,10,-2.97E-16,2.97E-16,1
-60,11,-1.12E-16,1.12E-16,1
-60,12,-4.17E-17,4.17E-17,1
-60,13,-1.53E-17,1.53E-17,1
-60,14,-5.53E-18,5.53E-18,1
-60,15,-1.97E-18,1.97E-18,1
-60,16,-6.91E-19,6.91E-19,1
-60,17,-2.39E-19,2.39E-19,1
-60,18,-8.14E-20,8.14E-20,1
-60,19,-2.73E-20,2.73E-20,1
-60,20,-9.00E-21,9.00E-21,1
-60,21,-2.92E-21,2.92E-21,1
-60,22,-9.32E-22,9.32E-22,1
-60,23,-2.92E-22,2.92E-22,1
-60,24,-9.01E-23,9.01E-23,1
-60,25,-2.73E-23,2.73E-23,1
-60,26,-8.12E-24,8.12E-24,1
-60,27,-2.37E-24,2.37E-24,1
-60,28,-6.82E-25,6.82E-25,1
-60,29,-1.92E-25,1.92E-25,1
-60,30,-5.33E-26,5.33E-26,1
-60,31,-1.45E-26,1.45E-26,1
-60,32,-3.88E-27,3.88E-27,1
-60,33,-1.02E-27,1.02E-27,1
-60,34,-2.64E-28,2.64E-28,1
-60,35,-6.70E-29,6.70E-29,1
-60,36,-1.67E-29,1.67E-29,1
-60,37,-4.12E-30,4.12E-30,1
-60,38,-9.97E-31,9.97E-31,1
-60,39,-2.38E-31,2.38E-31,1
-60,40,-5.58E-32,5.58E-32,1
-60,41,-1.29E-32,1.29E-32,1
-60,42,-2.96E-33,2.96E-33,1
-60,43,-6.68E-34,6.68E-34,1
-60,44,-1.49E-34,1.49E-34,1
-60,45,-3.29E-35,3.29E-35,1
-60,46,-7.19E-36,7.19E-36,1
-60,47,-1.56E-36,1.56E-36,1
-60,48,-3.34E-37,3.34E-37,1
-60,49,-7.11E-38,7.11E-38,1
-60,50,-1.50E-38,1.50E-38,1
-60,51,-3.16E-39,3.16E-39,1
-60,52,-6.59E-40,6.59E-40,1
-60,53,-1.37E-40,1.37E-40,1
-60,54,-2.82E-41,2.82E-41,1
-60,55,-5.81E-42,5.81E-42,1
-60,56,-1.19E-42,1.19E-42,1
